economy,series,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
CAN,Inflation,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426
CAN,Tax_Revenue,1.18083790792206e-05,1.23898109063213e-05,1.2496562633144e-05,1.26120166809848e-05,1.30576846693075e-05,1.27416889014909e-05,1.35185987464231e-05,1.3996294680919e-05,1.3736451836938e-05,1.4089801316377e-05
CAN,Nominal_GDP,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33
DEU,Inflation,0.906794000434246,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,5.94643667725823
DEU,Tax_Revenue,1.2050213270698e-08,1.19885456247591e-08,1.18344647143693e-08,1.19735022246491e-08,1.19511477768103e-08,1.19024787407273e-08,1.11648293689433e-08,1.14768326661851e-08,1.1204620255227e-08,1.06356015557046e-08
DEU,Nominal_GDP,3964870735760.77,3425099578746.09,3536787895179.0,3765351626105.89,4055433215301.96,3959894794039.21,3941398957073.94,4355251953410.78,4201021706478.62,4562207532490.28
FRA,Inflation,0.50775882293799,0.0375143805125182,0.18333486112386,1.03228275064662,1.85081508315502,1.10825492288294,0.476498852725066,1.64233141038385,5.22236748369735,4.87835726508441
FRA,Tax_Revenue,2.31556593525911e-08,2.32974119760792e-08,2.31463283405753e-08,2.37863349624871e-08,2.43098642807809e-08,2.46605263993177e-08,2.47888064416138e-08,2.39794445386059e-08,2.45475390855725e-08,2.30769652594876e-08
FRA,Nominal_GDP,2861236112552.42,2442483452642.5,2470407619777.13,2588868323334.71,2781576320884.39,2722793515171.76,2647926055110.05,2966433692008.09,2794788137066.94,3056250648138.29
GBR,Inflation,1.45112016293279,0.36804684232536,1.0084173681141,2.55775577557747,2.29283990345938,1.73810460086513,0.989486703772491,2.51837109614213,7.92204883147902,6.79396706793963
GBR,Tax_Revenue,2.47140100668456e-08,2.49162351349781e-08,2.52889754608418e-08,2.54175285210626e-08,2.5326551109134e-08,2.49143682469426e-08,2.45433751270756e-08,2.59910653856023e-08,2.65536048949437e-08,2.68736892132882e-08
GBR,Nominal_GDP,3085362169410.29,2945579890258.46,2706807606538.73,2699118387873.1,2897028009916.05,2875710080015.3,2724001478304.59,3194559188925.93,3181244350465.41,3420796653789.08
ITA,Inflation,0.241047429826756,0.0387903996579733,-0.09401665691575,1.22653316645812,1.13748763600391,0.611246943765304,-0.13770757391651,1.87378325762481,8.20128991161718,5.62219442195901
ITA,Tax_Revenue,2.49693939747194e-08,2.48391474255923e-08,2.50831052252075e-08,2.4697204288008e-08,2.42435864233351e-08,2.46616145255819e-08,2.48458109789517e-08,2.48769150126615e-08,2.46064132004012e-08,2.47080453637277e-08
ITA,Nominal_GDP,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09,2104067630319.46,2316727999333.18
JPN,Inflation,2.75922671353253,0.795279630579839,-0.127258844489754,0.484199796126385,0.989094598021848,0.46877615938395,-0.024995834027731,-0.233352779398264,2.49770278172255,3.26813365933163
JPN,Tax_Revenue,,,,,,,,,,
JPN,Nominal_GDP,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5054068005376.28,5039148168861.22,4262463317796.53,4213167237905.83
USA,Inflation,1.62222297740817,0.118627135552451,1.26158320570536,2.13011000365961,2.44258329692817,1.81221007526021,1.23358439630629,4.69785886363742,8.00279982052121,4.11633838374488
USA,Tax_Revenue,1.09354320229891e-08,1.12374940636678e-08,1.09182669054538e-08,1.15834831642617e-08,9.98924207356734e-09,9.95830072560589e-09,1.02949840532629e-08,1.15735962955643e-08,1.27967300718031e-08,1.08130735453764e-08
USA,Nominal_GDP,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25604848907611.0,27292170793214.4
